year,month,total_sales
2013,1,91947091.1299997
2013,2,90665707.36999977
2013,3,104932687.1499996
2013,4,69154285.54999954
2013,5,65065312.459999666
2013,6,79550405.82999893
2013,7,69350599.8799999
2013,8,74297969.64000005
2013,9,119081891.68000044
2013,10,107241612.52999991
2013,11,138665439.30000573
2013,12,207571731.4600014
2014,1,98226022.94999976
2014,2,107431122.75999957
2014,3,109115405.33999792
2014,4,80651755.21999972
2014,5,91281733.83000056
2014,6,82668538.6599995
2014,7,76487921.3199997
2014,8,89604092.27000004
2014,9,114723593.96999824
2014,10,112525522.33999938
2014,11,152037599.33999887
2014,12,232025170.80999845
2015,1,118927699.77999905
2015,2,86593883.89000057
2015,3,86476266.59999973
2015,4,90252813.75999585
2015,5,88577438.23999824
2015,6,65397995.42999958
2015,7,59405787.169999816
2015,8,61748964.71000002
2015,9,92905169.14000146
2015,10,84337113.06000003
