year,month,item_cnt_day
2013,1,131479.0
2013,2,128090.0
2013,3,147142.0
2013,4,107190.0
2013,5,106970.0
2013,6,125381.0
2013,7,116966.0
2013,8,125291.0
2013,9,133332.0
2013,10,127541.0
2013,11,130009.0
2013,12,183342.0
2014,1,116899.0
2014,2,109687.0
2014,3,115297.0
2014,4,96556.0
2014,5,97790.0
2014,6,97429.0
2014,7,91280.0
2014,8,102721.0
2014,9,99208.0
2014,10,107422.0
2014,11,117845.0
2014,12,168755.0
2015,1,110971.0
2015,2,84198.0
2015,3,82014.0
2015,4,77827.0
2015,5,72295.0
2015,6,64114.0
2015,7,63187.0
2015,8,66079.0
2015,9,72843.0
2015,10,71056.0
